"corpus","user/nelakrawiecova/1926_cerny"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"slavná sněmovna",21391.400,4,0
"dekret pana",5348.590,1,0
"dekret pana presidenta",5348.590,1,0
"pan presidenta republiky",5348.590,1,0
"podpora slavné sněmovny",5348.590,1,0
"účinná podpora slavné sněmovny",5348.590,1,0
"sloužící práce",5348.590,1,0
"velezasloužilý předseda",5348.590,1,0
"příčina demise",5348.590,1,0
"příčina demise vlády",5348.590,1,0
"zevrubná rozprava",5348.590,1,0
"slavná sněmovna dne",5348.590,1,0
"parlamentní vláda",5348.590,1,0
"vláda účinné podpory",5348.590,1,0
"způsob jmenování vlády",5348.590,1,0
"blahodárná činnost",5348.590,1,0
"provádění programu",5259.190,1,6
"pan presidenta",5113.380,1,16
"sněmovna dne",5098.750,1,17
"schůze dne",5003.360,1,24
"účinná podpora",4745.870,1,44
"president republiky",4626.810,1,54
"rada lékařů",4394.900,1,75
"způsob jmenování",4394.900,1,75
"demise vlády",3958.990,1,121
"jmenování vlády",2772.730,1,320
"programové prohlášení vlády",1988.320,1,582
"prohlášení vlády",1862.970,1,644
"programové prohlášení",1531.970,2,2059
"ministerský předseda",902.410,1,1696
