"corpus","user/nelakrawiecova/1926_svehla"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"počet slov",5461.820,2,31
"analýza textu voyant",2977.190,1,0
"délka programů",2977.190,1,0
"následující grafika",2977.190,1,0
"kvalita vlád",2977.190,1,0
"jednostránkové provolání",2977.190,1,0
"úderné jednostránkové provolání",2977.190,1,0
"nejcharakterističtější slovo",2977.190,1,0
"nejtypičtější slovo",2977.190,1,0
"Sobotka vítězství",2977.190,1,0
"stručný hlavní text",2977.190,1,0
"text voyant",2977.190,1,0
"text voyant tools",2977.190,1,0
"tradice podrobných programů",2977.190,1,0
"Voyanta tools",2977.190,1,0
"výjimka petra nečase",2977.190,1,0
"web vlada",2977.190,1,0
"šéfovská zodpovědnost",2977.190,1,0
"programová část koaliční dohody",2977.190,1,0
"část koaliční dohody",2977.190,1,0
"část šéfovské zodpovědnosti",2977.190,1,0
"nestranický šéf",2977.190,1,0
"celý korpus",2936.080,1,5
"výjimka petra",2910.250,1,8
"dlouhý program",2870.960,1,13
"analýza textu",2862.680,1,14
"jednoduchá analýza",2854.450,1,15
"moderní Česká historie",2846.260,1,16
"daný text",2738.910,1,30
"hlavní text",2718.890,1,33
"programová část",2682.150,1,38
"získání důvěry",2562.130,1,56
"desítka stran",2416.550,1,80
"Československá historie",2349.790,1,92
"sociálnědemokratický premiér",2349.790,1,92
"Československá dějiny",2231.780,1,115
"podrobný program",1904.790,1,194
"plné znění",1557.110,1,314
"programové prohlášení",1278.940,3,2059
"předseda vlád",1240.500,1,482
"úřednická vláda",1113.800,1,576
"Česká historie",932.410,1,755
"koaliční dohoda",930.660,1,757
"Petr nečase",419.970,1,2096
"koaliční partner",226.750,1,4175
"předseda vlády",124.240,1,7904
